Giorno,Casi positivi,Ricoveri in ospedale,Guarigioni,Decessi,Sorveglianza domiciliare,Misure scadute
12-05-21,29,1,397,3,93,1085
11-05-21,33,1,392,3,127,1051
10-05-21,33,1,391,3,133,1045
09-05-21,34,2,390,3,134,1044
08-05-21,36,2,388,3,134,1044
07-05-21,44,2,380,3,157,1021
06-05-21,47,2,377,3,157,1021
05-05-21,48,2,373,3,145,1015
04-05-21,48,2,370,3,147,1012
03-05-21,50,2,367,3,123,1003
02-05-21,52,2,365,3,125,1001
30-04-21,54,2,361,3,111,986
29-04-21,55,2,358,3,111,980
28-04-21,53,2,352,3,108,957
27-04-21,45,2,350,3,80,952
26-04-21,50,2,343,3,102,927
25-04-21,51,2,340,3,101,925
24-04-21,50,2,338,3,100,923
23-04-21,51,2,337,3,120,898
22-04-21,51,2,335,3,121,894
21-04-21,51,2,334,3,124,890
20-04-21,51,2,331,3,90,888
19-04-21,51,2,330,3,65,886
18-04-21,51,2,329,3,66,882
17-04-21,52,2,328,3,64,882
16-04-21,49,2,327,3,62,882
15-04-21,49,2,326,3,64,880
14-04-21,50,2,320,3,64,880
13-04-21,53,1,317,2,65,880
11-04-21,41,1,314,2,49,877
10-04-21,41,1,313,2,53,868
09-04-21,42,1,310,2,73,844
08-04-21,38,1,308,2,63,837
07-04-21,41,1,304,2,83,817
06-04-21,42,2,301,2,87,809
05-04-21,39,2,299,2,97,802
04-04-21,39,2,297,2,98,801
03-04-21,41,2,295,2,109,790
02-04-21,42,2,294,2,140,753
01-04-21,42,2,292,2,145,749
31-03-21,41,2,289,2,144,748
30-03-21,41,2,287,2,138,748
29-03-21,45,2,281,2,136,744
28-03-21,46,2,280,2,129,741
27-03-21,44,2,279,2,125,739
26-03-21,45,2,277,2,119,737
25-03-21,40,1,277,2,99,736
24-03-21,40,1,277,2,97,734
23-03-21,37,2,275,2,84,734
22-03-21,36,2,275,2,49,730
21-03-21,36,2,274,2,39,730
20-03-21,40,2,270,2,39,729
19-03-21,54,2,256,2,43,723
18-03-21,54,2,256,2,47,719
17-03-21,54,2,252,2,48,717
16-03-21,54,2,251,2,52,713
15-03-21,59,2,245,2,51,712
14-03-21,65,2,237,2,56,709
13-03-21,66,2,236,2,65,700
12-03-21,62,2,233,2,92,678
11-03-21,64,2,231,2,98,671
10-03-21,56,2,231,2,86,668
09-03-21,62,2,223,2,93,659
08-03-21,61,2,220,2,106,648
07-03-21,57,2,219,2,97,647
05-03-21,54,2,216,2,90,639
03-03-21,58,2,208,2,101,627
02-03-21,63,2,201,2,111,611
01-03-21,60,2,200,2,108,605
28-02-21,58,1,200,2,111,587
27-02-21,46,1,199,2,89,585
26-02-21,46,1,198,2,161,509
25-02-21,47,1,196,2,172,493
24-02-21,46,1,193,2,176,482
22-02-21,43,1,191,2,178,471
21-02-21,43,1,190,2,165,465
20-02-21,42,0,188,2,168,462
19-02-21,41,2,187,,168,452
18-02-21,37,2,185,,175,447
17-02-21,35,2,185,,170,442
16-02-21,31,2,184,,137,438
15-02-21,22,2,182,,121,434
13-02-21,16,2,182,,61,427
12-02-21,13,1,181,,47,425
11-02-21,13,1,181,,45,425
10-02-21,13,1,181,,38,424
09-02-21,13,1,180,,36,420
08-02-21,12,0,180,,36,420
07-02-21,10,0,180,,31,420
06-02-21,10,0,179,,32,416
04-02-21,9,0,179,,23,415
02-02-21,7,0,179,,19,415
01-02-21,5,0,179,,18,413
31-01-21,6,0,178,,17,413
30-01-21,5,0,178,,25,401
29-01-21,7,0,176,,27,399
28-01-21,8,0,175,,26,399
27-01-21,7,0,175,,36,390
26-01-21,9,0,172,,34,390
25-01-21,14,0,167,,38,385
24-01-21,17,0,164,,38,385
23-01-21,19,0,161,,38,383
22-01-21,19,0,161,,41,380
21-01-21,21,0,159,,41,380
20-01-21,21,0,157,,37,378
19-01-21,22,0,155,,36,377
18-01-21,24,0,153,,35,377
17-01-21,28,0,150,,34,377
16-01-21,32,0,146,,34,377
15-01-21,32,0,146,,26,377
14-01-21,32,0,146,,31,372
13-01-21,32,0,143,,32,372
12-01-21,32,0,143,,32,372
10-01-21,31,0,139,,39,366
09-01-21,31,0,139,,39,366
08-01-21,28,1,135,,37,366
07-01-21,30,1,132,,38,366
06-01-21,29,1,131,,38,364
05-01-21,26,1,131,,36,362
04-01-21,27,1,130,,32,362
03-01-21,26,1,130,,28,362
02-01-21,25,1,129,,32,360
01-01-21,26,1,128,,32,360
31-12-20,23,1,126,,31,360
29-12-20,18,1,126,,23,358
28-12-20,14,1,126,,20,356
27-12-20,15,1,125,,20,356
26-12-20,14,1,125,,25,351
25-12-20,16,1,121,,26,351
24-12-20,16,0,121,,30,347
23-12-20,16,1,120,,33,343
22-12-20,17,1,119,,43,333
21-12-20,18,1,117,,43,333
20-12-20,21,1,114,,45,331
19-12-20,21,1,113,,49,325
18-12-20,19,1,113,,47,323
17-12-20,18,1,113,,43,323
16-12-20,18,1,113,,50,316
15-12-20,15,1,112,,49,315
14-12-20,15,2,111,,56,308
13-12-20,15,1,110,,55,304
12-12-20,16,1,109,,60,299
11-12-20,13,1,109,,58,297
10-12-20,11,0,109,,49,297
09-12-20,10,0,109,,44,297
08-12-20,8,0,109,,35,297
07-12-20,10,0,106,,34,297
06-12-20,10,0,106,,36,295
05-12-20,12,0,103,,41,287
04-12-20,13,0,102,,42,286
03-12-20,15,0,100,,40,286
02-12-20,12,0,100,,40,286
01-12-20,14,0,98,,40,286
30-11-20,14,0,98,,40,282
29-11-20,18,0,95,,42,280
28-11-20,20,0,93,,44,278
27-11-20,20,0,92,,47,275
26-11-20,18,0,91,,47,273
25-11-20,27,1,81,,45,271
24-11-20,27,1,80,,41,269
23-11-20,29,1,78,,48,263
22-11-20,32,1,75,,50,261
21-11-20,33,1,74,,56,255
20-11-20,35,1,72,,54,252
19-11-20,38,1,67,,54,248
18-11-20,38,1,66,,56,248
17-11-20,39,1,64,,61,238
16-11-20,39,1,64,,64,234
15-11-20,39,1,61,,58,233
14-11-20,38,1,59,,58,228
13-11-20,33,1,56,,65,222
12-11-20,33,1,54,,61,221
11-11-20,31,1,54,,58,217
10-11-20,28,1,52,,54,212
09-11-20,29,1,50,,54,211
08-11-20,26,1,49,,50,207
07-11-20,20,1,48,,49,201
06-11-20,19,1,47,,43,201
05-11-20,21,1,45,,47,196
04-11-20,28,1,37,,50,190
03-11-20,25,1,36,,53,187
02-11-20,23,1,36,,55,185
01-11-20,23,2,35,,56,184
31-10-20,25,2,33,,60,180
30-10-20,26,2,31,,54,177
29-10-20,25,2,30,,49,177
28-10-20,25,2,30,,46,177
27-10-20,26,2,29,,39,174
26-10-20,26,2,28,,93,118
25-10-20,27,2,26,,99,110
24-10-20,20,1,23,,97,102
23-10-20,19,1,23,,105,85
22-10-20,19,,23,,107,83
21-10-20,21,,20,,106,82
20-10-20,25,,16,,107,78
18-10-20,24,,15,,51,76
17-10-20,22,,15,,28,71
16-10-20,22,,15,,41,55
15-10-20,23,,12,,49,38
14-10-20,23,,12,,45,37
13-10-20,24,,11,,46,36
12-10-20,21,,10,,48,36
11-10-20,19,,10,,47,36
10-10-20,20,,9,,47,36
09-10-20,20,,9,,56,27
08-10-20,17,,9,,59,24
